OrderID,CustomerID,Product,Quantity,UnitPrice,OrderDate,Country
1001,,,two,49.99,"March 3, 2024",usa
1002,104,Mouse,,49.99,2024/02/01,
1003,105,Mouse,two,-10.0,2024-01-01,usa
1004,,Monitor,1,,"March 3, 2024",
1005,103,Mouse,-3,19.99,not_a_date,USA
1006,null,Mouse,0,9999.99,"March 3, 2024",null
1007,105,Webcam,,0,not_a_date,USA
1008,105,Monitor,-3,19.99,2024/02/01,
1009,,Webcam,,,not_a_date,india
1010,102,,0,,2024-01-01,India
1011,103,,two,,2024/02/01,
1012,,,two,ten,2024-01-01,India
1013,103,,0,0,,
1014,103,Webcam,two,ten,01/15/2024,United States
1015,null,,5,-10.0,not_a_date,usa
1016,105,Monitor,0,,01/15/2024,
1017,104,Laptop,-3,-10.0,01/15/2024,null
1018,null,Webcam,0,49.99,not_a_date,
1019,null,,,ten,2024/02/01,India
1020,103,Desk Lamp,two,,,
1021,,,5,,2024-01-01,U.S.A
1022,105,Desk Lamp,5,9999.99,"March 3, 2024",U.S.A
1023,102,Mouse,,0,2024-01-01,USA
1024,null,,-3,19.99,"March 3, 2024",null
1025,104,Desk Lamp,2,,2024-01-01,United States
1026,,,2,,not_a_date,India
1027,,Mouse,0,-10.0,,usa
1028,102,Laptop,,ten,"March 3, 2024",usa
1029,null,Monitor,1,,,India
1030,104,Monitor,0,,2024/02/01,india
1031,105,Monitor,,49.99,2024-01-01,United States
1032,101,Desk Lamp,-3,49.99,2024-01-01,
1033,104,Laptop,-3,0,"March 3, 2024",
1034,102,Desk Lamp,-3,-10.0,2024/02/01,india
1035,,,-3,,2024/02/01,
1036,105,Desk Lamp,-3,,not_a_date,
1037,104,Laptop,,9999.99,,india
1038,101,Laptop,,-10.0,not_a_date,USA
1039,101,,5,0,not_a_date,U.S.A
1040,103,Laptop,,0,not_a_date,
1041,103,,2,-10.0,not_a_date,india
1042,,Laptop,two,0,not_a_date,india
1043,102,Monitor,-3,-10.0,,Germany
1044,null,,1,19.99,2024/02/01,USA
1045,104,,two,-10.0,not_a_date,null
1046,104,,,ten,2024/02/01,Germany
1047,null,Keyboard,1,-10.0,2024/02/01,Germany
1048,,Keyboard,1,0,01/15/2024,India
1049,,Laptop,1,,,U.S.A
1050,,,5,ten,not_a_date,india
1051,,Keyboard,,0,2024-01-01,U.S.A
1052,,Keyboard,1,49.99,"March 3, 2024",United States
1053,103,Laptop,-3,49.99,,India
1054,104,Keyboard,0,,2024-01-01,null
1055,,Desk Lamp,1,,,U.S.A
1056,104,Mouse,5,ten,"March 3, 2024",usa
1057,null,,two,19.99,,
1058,101,Mouse,,,2024/02/01,United States
1059,103,Laptop,,49.99,"March 3, 2024",USA
1060,105,Monitor,5,-10.0,2024/02/01,null
1061,103,,1,0,2024-01-01,United States
1062,,Laptop,,49.99,2024-01-01,
1063,105,,0,49.99,"March 3, 2024",India
1064,101,Monitor,1,19.99,"March 3, 2024",
1065,,Mouse,5,ten,not_a_date,Germany
1066,102,Laptop,2,ten,,
1067,104,,-3,,not_a_date,Germany
1068,101,,,19.99,,India
1069,104,,two,-10.0,not_a_date,
1070,,Webcam,5,ten,2024/02/01,Germany
1071,102,,,0,"March 3, 2024",USA
1072,102,Desk Lamp,,,2024-01-01,
1073,101,Keyboard,,19.99,,
1074,102,Monitor,,,,USA
1075,105,,1,49.99,2024-01-01,usa
1076,102,Webcam,-3,0,not_a_date,india
1077,104,Keyboard,1,0,,
1078,104,Keyboard,,49.99,,null
1079,,Laptop,1,19.99,2024/02/01,Germany
1080,104,Keyboard,2,49.99,"March 3, 2024",USA
1081,,Desk Lamp,-3,,2024-01-01,India
1082,104,,-3,,"March 3, 2024",Germany
1083,105,Webcam,,0,,india
1084,null,Keyboard,two,9999.99,,India
1085,,Laptop,2,9999.99,,United States
1086,103,Desk Lamp,5,,,
1087,,Mouse,1,-10.0,2024-01-01,United States
1088,101,,0,ten,2024/02/01,Germany
1089,104,,1,49.99,01/15/2024,india
1090,102,Webcam,,49.99,2024-01-01,
1091,null,,1,-10.0,01/15/2024,Germany
1092,104,Keyboard,5,-10.0,,USA
1093,102,Laptop,1,,not_a_date,U.S.A
1094,,,2,,01/15/2024,Germany
1095,,,2,-10.0,2024/02/01,
1096,,Mouse,-3,0,not_a_date,
1097,102,Mouse,,,01/15/2024,Germany
1098,104,Monitor,two,,,India
1099,,Desk Lamp,0,,not_a_date,U.S.A
1100,105,Keyboard,,49.99,,USA
